Date,Ecocash,Auction,Change,change_dc,pc_change
10/15/18,2.2,1,0.5,0.2941176471,29.41176471
10/25/18,1.8,1,-0.4,-0.1818181818,-18.18181818
10/31/18,2,1,0.2,0.1111111111,11.11111111
11/2/18,2,1,0,0,0
11/9/18,1.5,1,-0.5,-0.25,-25
11/12/18,2,1,0.5,0.3333333333,33.33333333
11/19/18,2.6,1,0.6,0.3,30
11/26/18,2.3,1,-0.3,-0.1153846154,-11.53846154
12/21/18,3.15,1,0.85,0.3695652174,36.95652174
1/4/19,3.06,1,-0.09,-0.02857142857,-2.857142857
1/7/19,3.02,1,-0.04,-0.01307189542,-1.307189542
1/8/19,3.02,1,0,0,0
1/9/19,3.02,1,0,0,0
1/10/19,3.11,1,0.09,0.0298013245,2.98013245
1/11/19,3.15,1,0.04,0.01286173633,1.286173633
1/14/19,3.19,1,0.04,0.0126984127,1.26984127
1/17/19,3.24,1,0.05,0.01567398119,1.567398119
1/21/19,3.29,1,0.05,0.01543209877,1.543209877
1/22/19,3.33,1,0.04,0.01215805471,1.215805471
1/23/19,3.38,1,0.05,0.01501501502,1.501501502
1/24/19,3.42,1,0.04,0.01183431953,1.183431953
1/25/19,3.47,1,0.05,0.01461988304,1.461988304
1/29/19,3.56,1,0.09,0.02593659942,2.593659942
1/30/19,3.6,1,0.04,0.01123595506,1.123595506
1/31/19,3.51,1,-0.09,-0.025,-2.5
2/1/19,3.51,1,0,0,0
2/4/19,3.47,1,-0.04,-0.0113960114,-1.13960114
2/5/19,3.56,1,0.09,0.02593659942,2.593659942
2/6/19,3.51,1,-0.05,-0.01404494382,-1.404494382
2/7/19,3.47,1,-0.04,-0.0113960114,-1.13960114
2/8/19,3.42,1,-0.05,-0.0144092219,-1.44092219
2/11/19,3.38,1,-0.04,-0.01169590643,-1.169590643
2/12/19,3.38,1,0,0,0
2/13/19,3.33,1,-0.05,-0.01479289941,-1.479289941
2/15/19,3.38,1,0.05,0.01501501502,1.501501502
2/18/19,3.33,1,-0.05,-0.01479289941,-1.479289941
2/19/19,3.38,1,0.05,0.01501501502,1.501501502
2/20/19,3.42,1,0.04,0.01183431953,1.183431953
2/22/19,3.24,1,-0.18,-0.05263157895,-5.263157895
2/25/19,3.19,1,-0.05,-0.01543209877,-1.543209877
2/26/19,3.15,2.5,-0.04,-0.01253918495,-1.253918495
2/27/19,3.15,2.5,0,0,0
2/28/19,3.11,2.5,-0.04,-0.0126984127,-1.26984127
3/1/19,3.15,2.5,0.04,0.01286173633,1.286173633
3/2/19,332.5,2.5,329.35,104.5555556,10455.55556
3/3/19,332.5,2.5,0,0,0
3/4/19,3.15,2.5,-329.35,-0.9905263158,-99.05263158
3/5/19,3.19,2.5,0.04,0.0126984127,1.26984127
3/6/19,3.19,2.5,0,0,0
3/7/19,3.24,2.5,0.05,0.01567398119,1.567398119
3/8/19,3.24,2.51,0,0,0
3/11/19,3.19,2.54,-0.05,-0.01543209877,-1.543209877
3/12/19,3.19,2.54,0,0,0
3/13/19,3.19,2.6,0,0,0
3/14/19,3.24,2.71,0.05,0.01567398119,1.567398119
3/15/19,3.29,2.71,0.05,0.01543209877,1.543209877
3/18/19,3.29,2.75,0,0,0
3/19/19,3.33,2.77,0.04,0.01215805471,1.215805471
3/20/19,3.33,2.77,0,0,0
3/21/19,3.38,2.85,0.05,0.01501501502,1.501501502
3/22/19,3.38,2.93,0,0,0
3/25/19,3.33,2.95,-0.05,-0.01479289941,-1.479289941
3/26/19,3.42,2.95,0.09,0.02702702703,2.702702703
3/27/19,3.69,2.96,0.27,0.07894736842,7.894736842
3/28/19,3.78,2.98,0.09,0.0243902439,2.43902439
3/29/19,3.78,3.01,0,0,0
4/1/19,3.83,3.01,0.05,0.01322751323,1.322751323
4/2/19,4.04,3.02,0.21,0.05483028721,5.483028721
4/3/19,4.08,3.02,0.04,0.009900990099,0.9900990099
4/4/19,4.32,3.06,0.24,0.05882352941,5.882352941
4/5/19,3.99,3.06,-0.33,-0.07638888889,-7.638888889
4/6/19,4.2,3.06,0.21,0.05263157895,5.263157895
4/7/19,3.99,3.06,-0.21,-0.05,-5
4/8/19,4.27,3.09,0.28,0.0701754386,7.01754386
4/9/19,4.04,3.11,-0.23,-0.05386416862,-5.386416862
4/10/19,4.32,3.13,0.28,0.06930693069,6.930693069
4/11/19,4.37,3.13,0.05,0.01157407407,1.157407407
4/12/19,4.66,3.14,0.29,0.06636155606,6.636155606
4/13/19,4.66,3.14,0,0,0
4/14/19,4.66,3.14,0,0,0
4/15/19,4.66,3.16,0,0,0
4/16/19,4.7,3.18,0.04,0.008583690987,0.8583690987
4/17/19,4.56,3.18,-0.14,-0.02978723404,-2.978723404
4/18/19,4.56,3.18,0,0,0
4/19/19,4.56,3.18,0,0,0
4/20/19,4.56,3.18,0,0,0
4/21/19,4.56,3.18,0,0,0
4/22/19,4.56,3.18,0,0,0
4/23/19,4.61,3.19,0.05,0.01096491228,1.096491228
4/24/19,4.66,3.21,0.05,0.01084598698,1.084598698
4/25/19,4.7,3.23,0.04,0.008583690987,0.8583690987
4/26/19,4.7,3.23,0,0,0
4/27/19,4.7,3.23,0,0,0
